B,posemo,anx,anger,sad,affiliation
63-m-3-1963.jpg,14.71,17.65,5.88,17.65,0
675-73-sequenz-kalt-warm-portrait-der-farbe-cerise-1973.jpg,59.46,2.7,0,0,12.12
725-78-farbraum-geist-und-materie-1978.jpg,40,0,0,0,3.23
78.jpg,35,0,0,17.5,0
a-bar-at-the-folies-bergere-1882-1.jpg,69.05,0,0,2.38,8.11
a-big-family-1995.jpg,28.36,14.93,4.48,22.39,3.17
a-boat-beached-in-a-port-at-low-tide-1825.jpg,32,6,0,28,2.22
a-box-at-the-italian-theatre-1874.jpg,60.61,9.09,0,7.58,13.33
a-breezy-day-1887.jpg,58.7,0,0,0,2.56
a-cow-in-a-landscape.jpg,58.75,2.92,1.25,4.58,5.98
a-drowned-woman-found-drowned-1867.jpg,5.77,21.15,1.92,46.15,0
a-face-from-georgia-1974(1).jpg,29.79,6.38,0,23.4,0
a-festa-1942.jpg,74.29,5.71,0,0,9.68
a-fight.jpg,10.34,17.24,25.86,8.62,0
a-for-apple-1963.jpg,31.58,7.89,0,15.79,0
a-fortune-teller-at-venice.jpg,60,0,0,2.22,12.82
a-friends-reunion-1922(1).jpg,54.55,3.64,0,5.45,4
a-game-of-piquet-1861.jpg,62.9,9.68,0,1.61,3.45
a-girl-with-geese-1875.jpg,41.41,9.09,3.03,12.12,6.45
a-green-neck-duck-with-a-seville-orange.jpg,6.82,31.82,6.82,20.45,0
a-group-of-polish-pilots-1960.jpg,59.32,3.39,0,3.39,3.7
a-hare-and-a-leg-of-lamb-1742.jpg,2.44,24.39,4.88,26.83,0
a-harlot-s-progress-plate-6.jpg,36.21,12.07,0,24.14,3.7
a-hermit-praying-in-the-ruins-of-a-roman-temple-1760.jpg,53.33,4.44,0,2.22,0
a-hilltop-naples-1782.jpg,55.56,0,0,0,0
a-hist-ria-dram-tica-de-um-ovo-objecto-1967.jpg,45.45,0,0,3.03,0
a-horse.jpg,74.58,1.69,0,1.69,18.52
a-hot-day-1888.jpg,43.33,5,0,15,0
a-lady-in-a-brown-dress-the-parson-s-daughter-1785.jpg,68,0,0,0,10.87
a-landscape-with-travellers-crossing-a-bridge-before-a-small-dwelling-1622.jpg,55.56,0,0,7.41,4.17
a-laughing-bravo-with-a-bass-viol-and-a-glass.jpg,70.18,1.75,0,1.75,9.8
a-merry-company.jpg,17.39,26.09,8.7,13.04,0
a-monkey-encampment-1633.jpg,70.45,2.27,0,0,2.56
a-naturalist-s-study-1928.jpg,41.86,6.98,0,4.65,5
a-north-african-interior-1877.jpg,60.87,4.35,0,0,4.76
a-nose-adjustment-face-farce-1971.jpg,9.3,32.56,4.65,13.95,2.56
a-park-at-night-1895(1).jpg,36.11,19.44,0,13.89,0
a-personification-of-geometry.jpg,38.64,4.55,4.55,20.45,0
a-philadelphia-anabaptist-immersion-during-a-storm.jpg,48.89,11.11,0,15.56,2.5
a-pool-1935.jpg,54.55,6.06,0,3.03,0
a-position-a-1972(1).jpg,54.55,1.82,1.82,5.45,3.92
a-primary-picture-1964.jpg,40.62,6.25,0,6.25,3.85
a-quack-and-his-assistant.jpg,66.23,4.92,1.31,2.3,2.68
a-quiet-moment-1995.jpg,48.48,6.06,0,27.27,0
a-rest-during-the-flight-to-egypt.jpg,73.76,3.19,0,6.03,27.64
a-rest-in-the-fields-1866.jpg,55.26,0,0,0,3.03
a-ride-for-freedom-the-fugitive-slaves-1862.jpg,50.72,8.7,0,18.84,12.5
a-river-valley-with-a-group-of-houses-1625.jpg,33.33,3.33,0,16.67,0
a-room-in-the-second-post-impressionist-1912.jpg,29.27,9.76,0,24.39,0
a-saddled-race-horse-tied-to-a-fence-1828(1).jpg,54.05,2.7,0,2.7,0
a-scene-from-as-you-like-it-by-william-shakespeare-1790.jpg,78.95,0,0,0,17.65
a-sketch-of-a-man-s-costume-for-the-play-by-e-sinclair-jimmie-higgins-1923.jpg,42.11,2.63,0,10.53,0
a-solitary-ramble-1888.jpg,44.44,0,0,22.22,10.26
a-song-without-words-1919.jpg,76.36,0,0,1.82,10.2
a-storm-prospero-miranda-and-caliban-spy-1778.jpg,29.51,18.03,1.64,13.11,1.79
a-stream-bridge-trees-and-two-figures-in-a-landscape.jpg,32.65,2.04,2.04,22.45,6.67
a-studio-in-the-batignolles-homage-to-manet-1870.jpg,58.7,4.35,0,2.17,2.5
a-summer-morning-tiff-1886.jpg,61.36,4.55,0,2.27,2.63
a-timeless-moment-1954.jpg,34.88,4.65,2.33,6.98,0
a-torre-de-pisa-vai-cair-1978.jpg,58.54,2.44,0,7.32,0
a-tree-poem-1991.jpg,62.5,5.36,0,1.79,1.96
a-tyrolean-innkeeper-1728.jpg,54.35,6.52,0,4.35,2.33
a-union-jack-young-commonwealth-artists-1962.jpg,23.53,2.94,11.76,2.94,0
a-venetian-lady-from-the-house-of-barbarigo-caterina-sagredo-barbarigo-1735.jpg,79.2,1.53,0,0.31,10.19
a-view-of-the-tiber-with-rome-in-the-distance-1775.jpg,64.52,0,0,0,3.7
a-view-on-the-wensum-norfolk.jpg,52.83,1.89,0,15.09,4.08
a-walk-in-the-forest-1869.jpg,80,1.15,0.38,2.31,21.88
a-wall-for-apricots-1968.jpg,30.77,0,2.56,10.26,0
a-winter-s-landscape.jpg,52.27,2.27,0,9.09,5.13
a-winter-s-tale-act-iv-scene-3-the-shepherd-s-cot-1787.jpg,87.23,0,0,0,39.53
a-woody-landscape.jpg,48.28,13.79,0,0,0
a-young-lady-of-fashion.jpg,40.74,5.56,1.85,7.41,0
a-young-man-1500.jpg,52.94,5.88,0,7.84,0
a-young-woman-with-a-macaw.jpg,72.88,1.69,0,3.39,18.18
a-youth-with-a-jug.jpg,65.79,0,0,7.89,0
abduction-of-deianira-1621.jpg,16.67,22.92,2.08,31.25,2.33
aberddeen-i-1970.jpg,34.38,9.38,0,3.12,3.7
aboriginal.jpg,24.32,10.81,0,21.62,0
above-the-sea.jpg,56.25,6.25,0,2.08,4.76
abraham-sara-and-an-angel.jpg,69.05,0,0,0,8.33
absinth-drinker-1898.jpg,9.38,20.31,1.56,48.44,0
abstract-1957.jpg,22.22,17.78,6.67,17.78,0
abstract-composition-1944.jpg,41.94,6.45,0,6.45,0
abstract-composition-1972.jpg,60.98,0,0,0,2.78
abstract-composition-knossos.jpg,51.52,0,0,0,0
abstract-composition.jpg,38.71,0,6.45,0,0
abstract-composition.jpg,43.18,0,0,9.09,2.56
abstract-composition.jpg,31.25,3.12,3.12,15.62,0
abstract-copmosition-1934.jpg,43.75,0,0,3.12,0
abstract-cubistic-composition-1923.jpg,37.37,8.42,2.36,16.16,0.34
abstract-force-homage-to-franz-kline-1952.jpg,46.51,11.63,0,11.63,0
abstract-in-white-grey-and-ochre-1949.jpg,40.54,2.7,0,0,0
abstract-painting-1961.jpg,20,10,6.67,10,0
abstract-painting-red-1952.jpg,32.61,6.52,8.7,8.7,2.44
abstraction-1914.jpg,50,0,0,0,0
abstraction-1941.jpg,40,10,0,0,0
abstraction-30-1955.jpg,27.03,0,5.41,13.51,0
abstraction-white-rose.jpg,43.64,3.64,1.82,10.91,4
abstracto-en-grises-y-azules-1956.jpg,38.24,2.94,0,2.94,0
abundance-1910.jpg,45.24,9.52,2.38,2.38,5.41
accession-ii-1968.jpg,31.25,21.88,6.25,3.12,3.7
accomplishments-1964.jpg,72.09,0,0,0,41.03
achrome-1958.jpg,42.5,5,0,2.5,0
acrobats-in-paris-1924.jpg,71.15,0,0,1.92,0
adam-and-eve-1524.jpg,60.42,0,0,10.42,20.93
adam-and-eve-1528.jpg,70.73,4.88,0,2.44,27.03
adam-and-eve-banished-from-paradise.jpg,5.29,37.5,4.33,43.75,0.49
adam-and-eve.jpg,34.04,17.02,0,10.64,4.76
addendum-1967.jpg,37.37,5.05,2.53,9.6,0
adieu-1982.jpg,26.67,13.33,6.67,23.33,3.7
admiral-john-forbes-1714-1796-1778.jpg,54.55,0,0,20.45,0
admiral-sir-charles-hardy-c-1716-1780-1780.jpg,62.07,3.45,3.45,1.72,0
admiral-sir-francis-geary-1709-1796-1783.jpg,78.14,0.4,0,0,2.06
adoration-by-the-shepherds-1625.jpg,81.13,0,0,0,18.75
adoration-of-the-child-1520(2).jpg,80,0,0,0,25
adoration-of-the-magi-1476-1.jpg,64.58,2.08,0,8.33,9.3
adoration-of-the-magi-1640.jpg,81.25,0,0,0,26.67
adoration-of-the-magi-whole-triptych.jpg,74.42,0,0,4.65,7.69
adoration-of-the-shepherds-1456.jpg,48.44,3.12,1.56,7.81,5.17
adoration-of-the-shepherds-1638.jpg,78.12,4.69,0,0,16.67
aello.jpg,77.78,2.22,0,0,30
aeneas-and-achates-on-the-libyan-coast-1520.jpg,78.05,0,0,0,0
aeneas-tells-dido-the-misfortunes-of-the-trojan-city.jpg,63.64,0,0,15.91,15.79
aeroflower-1942.jpg,40,6.67,6.67,0,0
africa-i-1942.jpg,44.19,13.95,0,4.65,2.56
africa.jpg,85.11,0,0,0,13.64
after-a-rain-country-road-1869.jpg,33.33,0,0,16.67,0
after-good-luck-1868.jpg,0,26,20,10,0
after-luncheon.jpg,68.63,1.96,0,0,4.35
after-marilyn.jpg,74.42,2.33,0,0,10.26
after-rain.jpg,65,2.5,0,5,0
after-the-bath-1908.jpg,55.78,13.07,1.01,6.03,6.67
after-the-orgy-1928.jpg,22.64,32.08,1.89,20.75,8.16
afternoon-1971.jpg,25.81,19.35,0,19.35,3.85
afternoon-in-the-tuileries-gardens-1867(1).jpg,70.45,0,0,0,4.88
agosta-the-pigeon-chested-man-and-rasha-the-black-dove-1929.jpg,6.12,20.41,2.04,28.57,0
agrigente-1959.jpg,59.46,2.7,0,0,3.03
ah-yaw-ne-tak-o-r-ron-a-warrior-1831.jpg,43.82,7.87,4.49,11.24,2.35
ailes-1961.jpg,20.73,26.18,1.09,28,0.74
air-view-of-a-spring-nursery-1966.jpg,61.54,0,0,5.77,4.35
ajaccio-i-1959.jpg,31.03,6.9,10.34,6.9,0
akt-1997.jpg,53.66,0,0,4.88,5.41
alaska-1-1958.jpg,31.37,13.73,1.96,19.61,0
albano-white-wall-1837.jpg,63.89,0,0,0,3.33
albano.jpg,68.29,0,0,0,2.86
albin-egger-lienz-002.jpg,14.75,29.51,0,31.15,3.77
alcamosparadiso-1991.jpg,54.76,2.38,0,0,0
aldeia-russa-1918.jpg,35.85,16.98,1.89,13.21,2.08
alexandr-matveevich-dmitriev-mamonov.jpg,60,0,0,5,2.86
alice-in-wonderland-1952.jpg,36,8,2,8,0
all-s-well-that-ends-well-1983.jpg,30.95,23.81,0,4.76,2.63
all-souls-day-1910.jpg,60.78,3.92,0,3.92,10.87
all-souls-night-1947.jpg,33.33,5.56,11.11,8.33,0
allegorical-scene.jpg,60.84,7.57,0.52,13.32,26.26
allegory-of-christianity-1515.jpg,60.38,0,0,0,8.51
allegory-of-divine-providence-and-barberini-power-1639.jpg,55.88,5.88,0,0,3.57
allegory-of-music-1522.jpg,64.75,4.92,1.64,4.51,12.08
allegory-of-the-virtues-of-king-jo-o-vi-1800.jpg,55.56,0,0,4.44,0
allstar-galilee-1970.jpg,65.28,5.09,1.39,2.78,5.66
allumeur-de-r-verb-res-place-de-la-concorde-1933.jpg,57.49,2.83,0,12.15,2.07
altany-1882.jpg,76.09,0,0,4.35,9.3
altarpiece-of-the-dominicans-the-mystical-hunt.jpg,54.9,1.96,0,5.88,12.77
altarpiece-of-the-holy-sacrament.jpg,53.85,1.92,1.92,9.62,0
altarpiece-with-the-martyrdom-of-st-sebastian-1507.jpg,17.65,23.53,1.96,11.76,4.44
amarillo-1958.jpg,37.93,3.45,0,3.45,0
amarillo-1971.jpg,47.06,0,0,5.88,0
ammonite-sfm-82-063-1982(1).jpg,54.22,4.89,1.78,4.89,3.65
amor-victorious-1602(1).jpg,66.07,0,0,0,7.84
an-allegory-of-death-and-beauty.jpg,7.69,40.38,0,19.23,2.17
an-allegory-of-peace-and-the-arts-under-the-english-crown-1638.jpg,63.04,2.17,2.17,4.35,14.63
an-extensive-landscape.jpg,51.92,3.85,0,7.69,0
an-ordinary-man-walking-with-his-dogs-1978.jpg,62.16,3.09,0,4.63,12.2
an-osage-warrior.jpg,58.82,3.92,3.92,3.92,2.17
anachor-te-endormi-1751.jpg,0,14.71,0,67.65,0
ananas-tropical-1970.jpg,32.35,5.88,2.94,11.76,0
anatomical-pieces.jpg,6.25,31.25,3.12,18.75,0
ancestral-nature-1938.jpg,53.57,7.14,0,3.57,4.35
and-the-gold-of-their-bodies-1901.jpg,57.45,4.26,0,0,16.67
anemone-flowers-1908.jpg,45.71,5.71,4.29,7.14,3.08
angel-of-anarchy-1940.jpg,22.22,11.11,0,5.56,0
angel-on-horseback-1931.jpg,45.71,0,0,8.57,6.9
angel-with-incense.jpg,57.65,7.06,3.53,7.06,8.64
angela-davis-ii-1972.jpg,46.88,3.12,0,6.25,0
angels-worshipping-1461.jpg,73,2.48,0.55,3.03,8.94
animal-head-1938.jpg,37.04,0,0,7.41,0
animals-in-a-landscape-1914.jpg,57.14,5.71,11.43,0,6.45
animated-slope-1949.jpg,67.5,0,0,0,0
animated-tension-1953.jpg,58.06,0,0,0,0
ann-verelst-1751-1823-1772.jpg,47.5,0,0,0,5.56
anna-akhmatova-1911-1(1).jpg,57.14,10.2,0,0,9.3
anna-ivanovna-tolstaya.jpg,70.27,0,0,0,9.68
annunciation.jpg,74.55,2.29,0.25,1.78,8.76
annunciation.jpg,77.59,0,0,0,7.55
anomalia-1969.jpg,42.86,2.86,0,5.71,3.33
ant-e-ero-1922-3.jpg,59.09,6.82,0,0,0
antee-iii-1956.jpg,27.27,21.21,9.09,12.12,0
antibes-in-the-morning(1).jpg,59.65,5.26,0,1.75,3.77
antonio-allegri-da-correggio(2).jpg,65.85,0,0,0,0
anubis-1987(1).jpg,36.11,5.56,2.78,16.67,3.12
anxiety-1894.jpg,25,21.15,1.92,23.08,0
anxious-corridor-1940.jpg,21.95,36.59,2.44,4.88,0
apfelernte-1907.jpg,70.83,0,0,0,2.27
aphrodite-1958.jpg,60,0,0,2.86,6.45
aphrodite-1971-1(1).jpg,58.14,6.98,0,6.98,10.26
apollinaire-and-his-friends-1909.jpg,62.75,9.8,0,5.88,6.52
apollo-1923.jpg,47.37,0,2.63,7.89,0
apollo-and-daphne-1524.jpg,68.57,0,0,11.43,12.9
apollo-and-daphne-1845.jpg,68.09,4.26,0,2.13,28.57
apollo-and-diana-1757.jpg,72.55,0,0,0,17.02
apoplectic-cardinals-harvesting-tomatoes-on-the-shore-of-the-red-sea-study-of-the-aurora.jpg,35.48,0,3.23,0,7.69
apparition-of-the-virgin-to-sts-anthony-abbot-and-george.jpg,70.49,1.64,0,4.92,22.81
appearance-of-st-peter-to-st-peter-nolasco-1629.jpg,28.33,26.67,3.33,25,1.79
apple-blossom-burst-1971.jpg,37.14,5.71,0,2.86,0
april-1892.jpg,60.87,0,0,0,10
april-1961-1961.jpg,36.11,5.56,0,0,0
april-4-1969.jpg,52.27,0,0,11.36,10.26
april-breakout-1981.jpg,31.03,6.9,0,0,0
apyu-1963.jpg,33.33,8.33,0,0,0
arab-and-a-dead-horse-1852.jpg,5.88,21.57,3.92,49.02,0
arc-en-ciel-1971.jpg,78.88,0,0.86,0,7.93
archaeology-1896.jpg,24,18,0,10,0
architect-s-home-in-the-ravine-1991.jpg,40.94,12.28,1.46,16.08,2.67
architectural-details-with-shadows-1969.jpg,20.93,18.6,0,9.3,0
architectural-fantasy-1760.jpg,61.22,0,0,12.24,0
ariccia-near-rome-1836.jpg,66.67,0,0,4.76,0
arnauld-de-beaufort-1818.jpg,57.89,0,5.26,0,0
arrachement.jpg,26,18,4,16,0
arrangement-in-grey-and-black-no-1-portrait-of-the-artist-s-mother-1871.jpg,41.03,5.13,0,12.82,6.06
arrangement-in-pink-red-and-purple-1884.jpg,51.61,6.45,0,6.45,8.77
artichaut-1926.jpg,31.58,21.05,2.63,18.42,0
artillery-1911.jpg,14.63,21.95,4.88,9.76,2.86
artist-s-family.jpg,52.63,0,0,7.02,3.85
artist-s-model.jpg,60,6.67,2.22,2.22,15
aru-dark-blue-1955.jpg,39.39,3.03,6.06,0,0
as-the-old-sang-so-the-young-pipe-1640.jpg,66.67,8.89,0,0,25
ascension-of-christ.jpg,78.38,0,0,2.7,0
ascent-of-the-blessed-1504.jpg,48.15,7.41,1.85,18.52,6.25
ascona-1976.jpg,29.63,0,7.41,0,0
ashes-1894.jpg,11.67,23.33,1.67,41.67,0
asheville(1).jpg,27.5,12.5,10,10,0
ashiato-1956.jpg,48.65,2.7,0,10.81,0
asleep-1937.jpg,17.78,20,2.22,33.33,0
assumption-of-the-virgin-mary-1601.jpg,81.03,0,1.72,0,11.11
asteriskos-1968.jpg,41.18,0,0,5.88,0
astrazione-1921.jpg,50,6.67,0,0,0
at-honingham-norfolk.jpg,56.41,0,0,2.56,0
at-the-bar.jpg,45.15,8.21,2.24,16.42,1.52
at-the-edge-of-the-brook-1875.jpg,41.86,4.65,0,9.3,5.26
at-the-fortress-walls-let-them-enter-1871.jpg,32.5,7.5,10,5,0
at-the-german-quarter-1911(3).jpg,59.38,1.56,0,1.56,6.9
at-the-moulin-rouge-the-dance-1890.jpg,77.65,0,1.18,1.76,4.82
at-the-well-1908.jpg,74.55,0,0,0,2
ath-the-beach-no2.jpg,69.34,2.36,0,5.19,5.83
athens-1954.jpg,60.53,0,0,2.63,0
atmospheric-effects-i-1970.jpg,55.83,5.83,0,11.17,2.5
atocha-1964.jpg,64.29,2.38,0,4.76,50
attacca-1975.jpg,56.82,0,0,11.36,2.56
attack-on-spanish-treasure-galleys-portugal-1602.jpg,43.75,6.25,3.12,0,0
attempting-the-impossible-1928(1).jpg,62.22,0,0,0,5
attributes-of-painting-sculpture-and-architecture-1769.jpg,50,2.38,0,2.38,2.63
au-matin-1981.jpg,50,0,0,5.88,6.9
au-pays-de-dolmens-1960.jpg,34.38,9.38,0,3.12,0
aufbahrung-der-m-rzgefallenen-1848(1).jpg,56.76,2.7,0,2.7,0
aurora-1627.jpg,52.02,12.9,1.61,10.08,7.82
aurora-and-cephalus.jpg,75,1.32,1.32,2.63,12.68
auto-retrato-1965.jpg,40.82,20.41,0,6.12,0
autumn-coloring-no-4-1952.jpg,38.24,11.76,0,2.94,0
autumn-leaves-fluttering-in-the-breeze-1973.jpg,65.57,2.93,0.73,5.49,4.12
autumn-on-the-seine-at-argenteuil.jpg,60.78,3.92,0,7.84,2.13
avenue-of-plane-trees-1916.jpg,51.43,0,0,8.57,3.23
avond-evening-the-red-tree-1910.jpg,48.78,12.2,0,9.76,0
axell-ration-1965.jpg,53.85,5.13,0,0,8.82
azalea-garden-may-1956-1956.jpg,35.29,2.94,0,5.88,0
b-ni-and-no-mi-1908.jpg,55.32,0,0,6.38,14.63
b-teau.jpg,36.36,3.03,0,3.03,0
b11-box-b-lide-09-1964.jpg,17.86,3.57,3.57,10.71,0
baby-blatt-1969.jpg,47.37,0,0,0,3.03
baby-rockefeller-1963.jpg,44.19,6.98,2.33,0,0
bacchus-1524.jpg,34.88,11.63,11.63,16.28,0
back-bay-in-bombay-from-the-india-mother-suite-of-7-aquatints-1970.jpg,66.67,0,0,0,8.11
back-of-the-new-mills-norfolk-1817.jpg,58.82,2.94,0,8.82,3.33
back-of-the-zoo-1971.jpg,65,7.5,0,7.5,2.86
back-to-fishing-boats-in-belle-isle-en-mer-1910.jpg,51.28,20.51,0,0,0
back-to-front-1998.jpg,25,30.56,2.78,13.89,0
bad-news.jpg,30.43,8.7,0,36.96,12.5
bad-night-1799.jpg,8.62,15.52,5.17,53.45,1.89
bad-taste-1965.jpg,18.18,9.09,13.64,4.55,0
bailly-self-portrait-1.jpg,44.44,13.89,0,5.56,9.68
bains-1923.jpg,48.78,12.2,4.88,0,0
bal-k-pazar-1930.jpg,26.36,20.5,7.95,20.08,0.43
ball-at-the-moulin-de-la-galette-1876(1).jpg,68.42,5.26,1.75,1.75,5.77
ball-play-dance-1835.jpg,68.57,0,0,2.86,6.45
ball-play-of-the-choctaw-ball-up-1850.jpg,26.67,20,15.56,4.44,0
balloon-1955.jpg,52.94,0,0,2.94,0
bambina-che-ride-1890.jpg,57.78,8.89,0,0,0
bamburgh-castle-northumberland-1799.jpg,50,5.88,2.94,20.59,0
bank-of-a-lake-1910.jpg,59.62,15.38,0,3.85,12.77
banks-of-the-seine-in-summer-tournedos-sur-seine-1899.jpg,79.91,0,0,0.87,6.25
banquet-given-by-charles-v-1338-80-in-hhonour-of-his-uncle-emperor-charles-iv-1316-78-in-1378-1460.jpg,72.34,0,0,0,4.88
banquo-s-funeral-flowers-n-4-1995.jpg,21.05,10.53,3.51,36.84,0
baptism-of-christ-1450(1).jpg,70.21,0,0,0,2.44
baptism-of-the-neophytes-1427.jpg,49.09,9.09,0,14.55,3.92
barber-extracting-of-tooth.jpg,28.21,25.64,12.82,10.26,2.86
barges-1919.jpg,50,0,0,3.12,0
barns-by-the-sea.jpg,56.99,8.44,1.85,9.23,3.74
basel-mural-i-1958(2).jpg,50,8,2,4,4.44
bassin-du-luxembourg-1930.jpg,80.43,0,0,0,41.46
batavians-defeating-romans-on-the-rhine-1613.jpg,2.13,31.91,17.02,31.91,0
bather-in-the-welsh-mountains-1913.jpg,72.34,0,0,2.13,18.6
bathers-1865.jpg,75,0,0,0,20.45
bathers-1954.jpg,60.53,0,0,5.26,0
bathers-by-a-river-1916.jpg,48.84,9.3,0,13.95,5.13
bathers-summer-scene-1869.jpg,57.75,4.23,2.82,5.63,10.77
bathers.jpg,57.5,10,0,0,8.57
battle-between-heraclius-and-chosroes(1).jpg,23.44,17.19,10.94,21.88,1.72
battle-of-cossaks-with-kirgizes-1826.jpg,3.85,25,19.23,15.38,0
battle-of-fontenoy-en-puisaye-in-841.jpg,3.64,18.18,20,9.09,0
battle-of-krasnaya-gorka-1866.jpg,34,12,2,8,0
battle-of-pavia.jpg,46.15,3.85,1.92,9.62,4.35
battle-scene-in-an-open-landscape-1614.jpg,4.17,27.08,16.67,20.83,0
baum-1913.jpg,50,6.25,0,10.42,0
baumlandschaft-1935.jpg,12.5,25,0,37.5,0
bay-of-naples-1908.jpg,64.1,0,0,5.13,0
bb64-1962.jpg,16,22,6,14,0
beatrice-d-este-1510.jpg,68,0,0,0,6.82
beef-1815.jpg,11.63,27.91,4.65,11.63,0
befl-gelt-1949.jpg,31.43,14.29,0,2.86,0
before-a-thunderstorm-1869.jpg,57.38,6.56,1.64,4.92,1.79
before-the-morphine-1890.jpg,27.59,6.9,0,31.03,0
before-the-singing-1930.jpg,63.41,7.32,0,0,11.11
beggars-fighting-1634.jpg,5.26,26.32,28.95,10.53,0
beheading-of-st-dorothea-1516.jpg,30.38,25.32,1.27,18.99,6.76
belshazzar-s-feast-1635.jpg,47.83,32.61,0,0,0
belshazzar-s-feast-1820.jpg,50,13.04,2.17,2.17,0
benjamin-and-eleanor-ridgley-laming-1788.jpg,85.56,1.76,0.35,0.35,32.97
benjamin-franklin-drawing-electricity-from-the-sky.jpg,66,6,0,4,2.22
berittener-hirte-und-k-he-1880.jpg,60,0,0,7.27,5.88
berlin-street-scene-1914.jpg,25.58,4.65,0,20.93,2.56
bethsabee-1956.jpg,41.18,5.88,0,5.88,0
bi-polar-in-red-1940.jpg,23.33,0,0,0,0
bianco-e-nero-di-spagna-1959.jpg,23.53,13.73,3.92,5.88,2.13
bibemus-quarry.jpg,57.5,5,0,0,2.86
bichos-1963(1).jpg,21.57,19.61,3.92,3.92,0
big-a-1968.jpg,44.44,0,0,0,3.23
big-diamond-1952.jpg,38.71,0,0,0,0
big-family-girl-2006.jpg,35.29,7.84,0,19.61,2.13
big-night-down-the-drain-1963-1.jpg,17.39,19.57,0,21.74,0
big-sur-and-branch-1974.jpg,57.89,10.53,0,5.26,3.12
big53-manouch-65-jpg.jpg,40.91,6.82,0,2.27,10.53
bild-no-15-berg-und-schiffe-1914.jpg,29.03,6.45,6.45,0,0
bild-no-84-1918.jpg,71.05,2.63,0,0,0
bildnis-emilie-weiss-mit-pl-schtier-1868.jpg,61.43,8.57,0,2.86,10.77
billy-waters-mariner-and-street-performer-beggar-1815.jpg,43.14,11.76,0,15.69,2.22
birch-trees-1911.jpg,21.03,9.35,0.93,50,0
bird-in-space-1923.jpg,50,0,0,0,0
bird-of-the-spirit-1943.jpg,44.44,7.94,3.17,4.76,8.62
bird-on-money.jpg,26.19,14.29,0,11.9,2.7
birth-of-the-virgin-1473.jpg,64.86,0,0,0,15.15
birth-of-the-virgin-1629.jpg,68.09,0,0,8.51,18.6
black-and-violet-1923.jpg,38.24,2.94,5.88,0,0
black-flowers-september-26-1999-1999.jpg,1.89,16.98,7.55,43.4,0
black-fresia-1988.jpg,30.77,10.26,0,28.21,2.86
