A,B,C,posemo,anx,anger,sad,affiliation
57727d1dedc2cb3880e69f6e,christian-allegory-1515.jpg,"['happiness  love  sadness', 'love', 'shame', 'happiness  love', 'happiness  love', 'trust  love  sadness', 'love', 'trust  gratitude  love  agreeableness', 'love', 'happiness  love', 'trust  happiness  love', 'love', 'anticipation', 'happiness  love  optimism', 'love', 'humility  love  sadness', 'happiness  love  optimism', 'gratitude  humility  love  agreeableness', 'love', 'happiness  love  agreeableness']",73.47,2.04,0,6.12,41.86
577281bfedc2cb3880f58b5c,four-hearts-1969.jpg,"['disgust', 'love', 'disgust', 'love', 'disgust  fear', 'happiness  love  optimism', 'love', 'love  surprise', 'love', 'happiness  love  anticipation', 'happiness  love', 'optimism', 'happiness', 'love', 'disgust', 'love', 'disgust', 'love', 'fear', 'happiness  love  optimism', 'love', 'love  surprise', 'love', 'gratitude  happiness  love  anticipation', 'happiness  love', 'optimism', 'happiness', 'love  optimism']",70.83,4.17,0,0,41.86
57727c2fedc2cb3880e39485,virgin-and-child.jpg,"['love', 'love  sadness', 'happiness  love', 'happiness  love', 'gratitude  love  optimism', 'happiness  love', 'arrogance', 'love  optimism', 'love', 'trust  happiness  love', 'love', 'love  sadness', 'happiness  love', 'happiness  love', 'gratitude  happiness  love', 'happiness  love', 'disgust', 'trust  humility  happiness  love', 'happiness  love', 'humility  happiness  agreeableness']",76.09,0,0,4.35,41.46
577282e6edc2cb3880f940ae,bassin-du-luxembourg-1930.jpg,"['happiness  love', 'optimism', 'happiness  love', 'happiness  love', 'love', 'love', 'trust  gratitude  humility  love  optimism  anticipation', 'gratitude  love', 'love', 'happiness', 'happiness  love', 'optimism', 'happiness  love', 'happiness  love', 'happiness  love', 'love', 'trust  gratitude  humility  happiness  love  optimism', 'happiness  love', 'love', 'humility  happiness  love']",80.43,0,0,0,41.46
57727593edc2cb3880ceb235,in-bed-1893.jpg,"['trust', 'happiness', 'humility', 'love  other', 'love  anticipation', 'happiness  love', 'humility  happiness  love', 'love', 'humility', 'love', 'happiness  love', 'trust', 'happiness', 'gratitude  humility', 'happiness  love', 'love  anticipation', 'happiness  love', 'love', 'happiness  love', 'humility', 'love', 'happiness  love']",68.42,0,0,0,41.18
577287b6edc2cb3880080850,accomplishments-1964.jpg,"['disgust', 'happiness', 'love  arrogance', 'love', 'love', 'love', 'happiness  love', 'happiness', 'love  anticipation', 'happiness  love', 'surprise', 'anticipation', 'love', 'disgust', 'happiness', 'love  optimism  arrogance', 'love', 'love', 'love', 'trust  gratitude  happiness  love', 'happiness', 'love', 'happiness  love', 'anticipation  surprise', 'agreeableness  anticipation  surprise', 'love']",72.09,0,0,0,41.03
57727d89edc2cb3880e7e8e7,the-virgin-of-the-green-cushion-1510.jpg,"['love', 'humility  love  optimism', 'humility  regret  disagreeableness', 'happiness  love  optimism', 'happiness  love', 'love', 'humility  love', 'love', 'trust  happiness', 'trust', 'love', 'love', 'happiness  love', 'trust  happiness  love', 'happiness', 'happiness  love', 'trust', 'trust', 'happiness  love', 'love', 'humility  love', 'humility  optimism  disgust  sadness  disagreeableness  shyness', 'trust  happiness  love  optimism', 'happiness  love', 'love', 'humility  happiness  love', 'love', 'love', 'trust', 'love', 'love  agreeableness', 'happiness  love', 'trust  happiness  love', 'happiness', 'love  optimism', 'trust  love', 'trust', 'love']",75.32,1.3,0,2.6,40
5772779bedc2cb3880d4fdef,madonna-and-child.jpg,"['trust  gratitude  love', 'humility  happiness  love', 'happiness  love', 'trust', 'humility  love  optimism', 'happiness  love', 'trust  love', 'love', 'humility  love', 'trust  gratitude  love', 'gratitude  happiness  love', 'humility  happiness  love', 'happiness  love', 'trust  happiness  love', 'trust  humility  happiness  love  optimism', 'happiness  love', 'trust  love', 'love', 'humility  love', 'trust  gratitude  love']",80.77,0,0,0,39.58
57727ec7edc2cb3880ec21bc,the-tale-of-beauty-1932.jpg,"['trust  happiness  love  anticipation  surprise', 'happiness', 'happiness', 'love  sadness', 'happiness  love', 'love  sadness', 'love', 'trust  happiness  love', 'love', 'love', 'trust  love  anticipation  surprise', 'happiness', 'happiness  love', 'happiness  love  optimism', 'humility  love', 'love  sadness', 'trust  happiness  love', 'trust  happiness  love  optimism', 'love  optimism', 'love']",77.08,0,0,6.25,39.53
57727e80edc2cb3880eb0926,mars-and-venus.jpg,"['love', 'trust  love  anticipation  surprise', 'happiness  love  optimism', 'trust  happiness  love', 'love  shame', 'love', 'happiness', 'love', 'shame', 'happiness  love  anticipation  surprise', 'love', 'trust  love  anticipation  surprise', 'happiness  love  optimism', 'trust  happiness  love', 'love  shame', 'love', 'happiness  love', 'love', 'shame', 'happiness  love  anticipation  surprise']",72.92,8.33,0,0,39.53
57726ef9edc2cb3880b9280e,the-sleepers-1866.jpg,"['love', 'love  shame', 'shame', 'happiness  love', 'trust  love  anticipation  surprise', 'trust  happiness  love', 'love', 'trust  happiness  love', 'happiness  love', 'happiness  love', 'love', 'love  optimism  shame', 'happiness', 'happiness  love', 'trust  love  anticipation  surprise', 'humility  happiness  love', 'love', 'trust  happiness  love', 'happiness  optimism', 'happiness  love']",77.08,6.25,0,0,39.53
57728a36edc2cb3880105786,a-winter-s-tale-act-iv-scene-3-the-shepherd-s-cot-1787.jpg,"['trust  humility  love', 'love', 'gratitude  happiness  love', 'love', 'love', 'happiness  love', 'happiness  love', 'happiness  love', 'happiness  love', 'trust  happiness  love  agreeableness', 'gratitude  optimism  agreeableness', 'love  optimism', 'gratitude  happiness  love', 'love', 'happiness', 'happiness  love', 'happiness  love', 'humility  happiness  love', 'trust  happiness  love', 'trust  happiness']",87.23,0,0,0,39.53
580f02b5edc2c982682fcd20,the-family-of-st-anne-1585.jpg,"['love', 'trust  love', 'happiness  love', 'humility  happiness  love  optimism', 'happiness  love  optimism', 'love', 'trust  gratitude  happiness  love', 'love', 'happiness  love  optimism', 'happiness  love', 'love  optimism', 'love', 'trust  happiness  love', 'happiness  love', 'humility  happiness  love  optimism', 'trust  gratitude  humility  happiness  love  optimism', 'love', 'trust  happiness  love', 'love', 'trust  humility  happiness  love  optimism', 'happiness  love', 'happiness  love  optimism']",83.87,0,0,0,39.29
57728aceedc2cb388012494d,jupiter-beguiled-by-juno-on-mount-ida-1799.jpg,"['love', 'trust  happiness  love', 'love', 'happiness  love', 'happiness  love', 'happiness  anticipation', 'trust  humility  love', 'love', 'love  shame  agreeableness', 'trust  happiness  love', 'love', 'shame', 'love', 'trust  happiness  love', 'love', 'disagreeableness', 'anticipation  surprise', 'happiness', 'trust  humility  love', 'love', 'love  shame  surprise', 'trust  happiness  love  anticipation', 'happiness  love', 'shame']",73.47,8.16,0,0,39.13
5875f99eedc2c988609a6725,rolla-1878.jpg,"['love', 'happiness  love', 'love', 'trust  happiness  love  anticipation  surprise', 'happiness  love', 'happiness  love', 'trust  love  optimism', 'happiness  love', 'shame', 'happiness  optimism', 'happiness  love', 'sadness', 'love', 'happiness  love', 'love', 'trust  happiness  love  anticipation  surprise', 'happiness  love', 'happiness  love', 'trust  happiness  love  optimism', 'happiness  love', 'shame', 'happiness  love  optimism', 'happiness  love', 'sadness']",80,3.64,0,3.64,38
57728706edc2cb388006140b,madame-jeanne-desbassayns-de-richemont-and-her-son-eug-ne.jpg,"['happiness  love  optimism', 'humility  happiness  love', 'happiness  love  optimism', 'happiness  love', 'love', 'humility  happiness  love', 'happiness  love', 'happiness  love', 'happiness  love', 'happiness  love  optimism', 'happiness  love  optimism  anticipation', 'trust  humility  happiness  love', 'happiness  love  optimism', 'happiness  love  optimism', 'happiness', 'gratitude  love', 'happiness  love', 'happiness  love', 'happiness  love', 'happiness  love  optimism']",86.79,0,0,0,38
577284fbedc2cb3880ffaaf4,passionate-lovers-viii-1974.jpg,"['surprise', 'anticipation', 'anticipation  surprise', 'anticipation', 'surprise', 'love  sadness  shame', 'shame  surprise', 'love', 'happiness  love', 'happiness  love', 'happiness  love', 'love', 'surprise', 'optimism', 'disgust', 'love', 'surprise', 'love  sadness  shame', 'love  anticipation  surprise', 'love', 'happiness  love', 'love', 'happiness  love', 'love']",65.85,7.32,0,4.88,37.84
57727f02edc2cb3880eccc95,reading-1884(1).jpg,"['trust  happiness  love  anticipation  surprise', 'happiness  love  optimism', 'happiness  love', 'love', 'happiness  love', 'happiness  love', 'humility  happiness  love', 'love', 'happiness  love', 'happiness', 'trust  happiness  love  anticipation  surprise', 'happiness  love  optimism', 'happiness  love', 'trust  love  optimism', 'happiness  love', 'humility  happiness  love', 'humility  happiness  love', 'happiness  love', 'happiness  love', 'happiness']",81.13,0,0,0,37.5
577282e6edc2cb3880f940ee,couple-kissing-under-the-pont-au-double-paris-1935.jpg,"['love', 'happiness', 'happiness  love', 'humility  happiness  love', 'humility  happiness  love', 'happiness', 'love', 'happiness  love  anticipation', 'sadness  shame', 'happiness  love  optimism', 'love', 'happiness', 'humility  happiness  love', 'humility  happiness  love  optimism', 'humility  happiness  love', 'love', 'love', 'happiness  love  anticipation', 'love  anger  arrogance', 'happiness  love  optimism']",66.67,2.08,2.08,2.08,37.21
577278e7edc2cb3880d95da8,the-cradle-1872.jpg,"['trust  humility  happiness  love', 'happiness', 'happiness  love', 'love', 'happiness  love  anticipation  surprise', 'happiness  love', 'happiness  love', 'humility', 'gratitude', 'love', 'happiness  love', 'trust  love', 'trust', 'happiness', 'happiness  love', 'love', 'trust  gratitude  humility  happiness  love  anticipation  surprise', 'happiness  love', 'happiness  love', 'trust', 'gratitude', 'love', 'happiness  love', 'trust  love']",78.85,0,0,0,36.96
577278cdedc2cb3880d936fc,virgin-and-child-in-an-interior.jpg,"['trust', 'trust  love', 'happiness  love', 'trust', 'sadness', 'love  optimism', 'trust', 'love', 'humility  love', 'love  optimism  surprise', 'happiness  love', 'happiness', 'humility', 'love', 'trust', 'trust', 'happiness  love  optimism', 'gratitude  love', 'trust', 'trust  humility  love', 'trust', 'love', 'humility  love', 'humility  happiness  love', 'happiness  love', 'happiness', 'happiness', 'love']",79.17,0,0,2.08,36.36
57727018edc2cb3880bcf00a,the-lucca-madonna-1436.jpg,"['trust  love', 'optimism', 'happiness  love', 'happiness  love', 'love', 'love', 'happiness  love  optimism', 'agreeableness', 'love', 'happiness  love  optimism', 'humility  love', 'humility  happiness  disgust  pessimism  anticipation', 'trust  love', 'optimism', 'happiness  love', 'happiness  love  optimism', 'love', 'love', 'happiness  love  optimism', 'agreeableness', 'love', 'trust  gratitude  humility  happiness  love  optimism', 'humility  love', 'trust  happiness  love  fear  regret  anticipation']",75.44,1.75,0,3.51,35.85
5772787dedc2cb3880d80ece,reapers.jpg,"['love', 'humility', 'happiness  love', 'disgust  fear', 'trust  happiness  optimism', 'gratitude', 'love', 'love', 'optimism  sadness', 'humility  love', 'love', 'humility', 'happiness  love', 'humility  love  fear', 'trust  happiness', 'gratitude', 'love', 'love', 'fear', 'humility  love']",60,8.57,0,2.86,35.48
577281c1edc2cb3880f58e30,hendrik-weymans-and-his-family.jpg,"['trust  happiness', 'anger', 'humility  happiness  love', 'happiness  love', 'humility  love', 'happiness  love', 'love', 'humility  happiness  love  anticipation', 'humility  happiness  love', 'humility  happiness', 'trust', 'happiness  love', 'trust  happiness', 'trust', 'humility  happiness  love', 'happiness  love', 'humility  happiness  love', 'happiness  love  optimism', 'love', 'humility  happiness  love', 'humility  happiness  love', 'humility  happiness  love', 'love', 'happiness  love']",68.97,0,1.72,0,34.62
577289a8edc2cb38800e790e,thomas-and-henry-sergeant-1787.jpg,"['happiness  love', 'humility  happiness  love  optimism', 'happiness  love', 'trust  happiness  love  anticipation  surprise', 'humility  love', 'trust  happiness  love', 'happiness  love  optimism', 'love', 'humility  happiness  love', 'love  fear', 'happiness  love', 'humility  happiness  love  optimism', 'happiness  love', 'trust  happiness  love  anticipation  surprise', 'humility  happiness  love', 'trust  happiness  love  optimism', 'trust  gratitude  humility  happiness  love  optimism', 'love', 'humility  happiness  love', 'love']",76.19,1.59,0,0,34.48
577273feedc2cb3880ca5e94,child-with-dove-1901.jpg,"['happiness  love', 'happiness  love', 'fear', 'love', 'love', 'humility  love  optimism', 'happiness  love', 'arrogance  regret', 'gratitude  happiness  optimism', 'humility  happiness', 'happiness  love', 'happiness  love', 'happiness  love', 'sadness', 'love', 'love', 'happiness  love  optimism', 'happiness  love', 'anger  fear  regret', 'gratitude  humility  love  optimism', 'humility  anticipation', 'happiness  love']",65.31,4.08,2.04,6.12,34.09
57727c88edc2cb3880e4be65,madonna-with-the-child-1460.jpg,"['trust', 'trust  love', 'humility  arrogance', 'love', 'love', 'trust', 'trust', 'happiness', 'trust  optimism  fear', 'love', 'trust', 'trust', 'trust  love', 'humility  love', 'love', 'love', 'trust  love', 'love', 'happiness', 'trust  gratitude  fear  sadness  shame', 'love', 'trust']",66.67,7.69,0,2.56,33.33
580efee0edc2c9826828953f,portrait-of-antonius-anselmus-his-wife-and-their-children-1577.jpg,"['happiness  love', 'trust  gratitude  humility', 'happiness  love', 'love', 'trust  happiness  love', 'happiness  love', 'happiness  love', 'happiness', 'humility  happiness  love', 'fear  pessimism', 'humility  happiness  love', 'trust  gratitude  love', 'happiness  love', 'happiness  love  optimism', 'trust  happiness  love', 'happiness  love', 'happiness  love', 'happiness', 'gratitude  humility  happiness  love', 'happiness  love  fear  anticipation']",76.92,3.85,0,1.92,33.33
577289a7edc2cb38800e760c,benjamin-and-eleanor-ridgley-laming-1788.jpg,"['trust  happiness  love  optimism', 'trust  love', 'humility', 'humility  fear  disagreeableness  surprise', 'happiness  love', 'trust  happiness  love', 'happiness  love  arrogance', 'humility  happiness  love', 'trust', 'happiness  love', 'trust  gratitude  happiness  love  optimism', 'love', 'trust  happiness  love', 'love', 'arrogance  pessimism', 'love', 'love', 'trust  happiness  love  anticipation', 'love', 'happiness  love', 'trust  gratitude  happiness  love', 'happiness  love', 'love', 'trust  happiness  love  optimism', 'trust', 'happiness  love', 'humility  agreeableness', 'happiness  love', 'love', 'happiness  love', 'love', 'happiness  love', 'love', 'trust', 'trust  happiness  love  optimism', 'happiness  love', 'trust  happiness  love', 'love', 'humility  happiness  love', 'trust  love', 'humility  happiness  love  optimism', 'trust', 'happiness  love', 'trust  optimism', 'happiness  love', 'happiness  love', 'trust  gratitude  happiness  love  optimism  arrogance  agreeableness  anticipation  surprise', 'trust  love', 'love', 'happiness  love', 'love  optimism', 'trust  love  anticipation  surprise', 'happiness', 'fear', 'trust  gratitude  agreeableness', 'trust  gratitude  love', 'happiness', 'trust  happiness', 'love', 'love', 'trust  happiness  love  optimism', 'trust  happiness  love', 'arrogance', 'gratitude  happiness  anger  arrogance  disgust  agreeableness  disagreeableness  surprise', 'happiness  love', 'trust  happiness  love', 'love  agreeableness', 'humility  happiness  love', 'trust', 'happiness', 'trust  gratitude  humility  happiness  love  optimism', 'love', 'trust  happiness  love', 'love', 'love  arrogance', 'trust  happiness  love', 'love', 'humility  happiness  love  anticipation', 'love', 'happiness  love', 'trust  gratitude  happiness  optimism  agreeableness  anticipation  surprise', 'love', 'love', 'trust  happiness  love  optimism  shyness', 'trust  happiness  love', 'happiness  love', 'love  agreeableness', 'humility  happiness  optimism', 'happiness  love', 'happiness  love', 'love', 'happiness  love', 'happiness  love', 'trust', 'trust  happiness  love  optimism', 'happiness  love', 'trust  happiness', 'love', 'happiness  love', 'trust  love', 'happiness  love  optimism  anticipation', 'trust', 'happiness  love', 'love', 'happiness  love', 'happiness  love', 'trust  gratitude  humility  happiness  love  optimism  arrogance  agreeableness  anticipation  surprise  shyness', 'trust  love', 'love', 'happiness  love', 'love  optimism', 'trust  love  anticipation  surprise', 'trust', 'fear', 'trust  gratitude  love  agreeableness', 'trust  gratitude', 'happiness', 'trust  happiness', 'love', 'love']",85.56,1.76,0.35,0.35,32.97
57728604edc2cb388002e7c8,young-mother-contemplating-her-sleeping-child-in-candlelight-1875.jpg,"['trust  happiness  love  anticipation  surprise', 'happiness  love', 'love', 'humility  happiness  love', 'gratitude  happiness  love', 'happiness  love', 'happiness  love', 'trust  love', 'trust  gratitude', 'humility  happiness  love  optimism', 'trust  happiness  love  anticipation  surprise', 'happiness  love', 'trust  happiness  love', 'trust  humility  happiness  love', 'gratitude  happiness  love', 'happiness  love', 'happiness  love', 'trust  love', 'trust  gratitude', 'humility  happiness  love  optimism']",81.67,0,0,0,32.73
57727ca3edc2cb3880e53dbe,yellow-cat.jpg,"['humility  happiness  love  optimism', 'gratitude  humility  happiness  love', 'happiness  love', 'happiness', 'humility  happiness  love', 'trust  happiness  love', 'gratitude  love  other', 'gratitude', 'happiness  love', 'happiness  love', 'happiness  love', 'humility  happiness  love  optimism', 'gratitude  humility  happiness  love', 'happiness  love', 'happiness', 'humility  happiness  love', 'trust  gratitude  happiness  love', 'humility  love  agreeableness', 'gratitude', 'happiness  love', 'love  optimism', 'happiness  love']",78.33,0,0,0,32.73
57728561edc2cb388000f43a,cupid-and-psyche-1800.jpg,"['happiness  love', 'love', 'happiness  love', 'love  sadness', 'love', 'trust  love', 'trust  gratitude  humility  happiness  love  arrogance  regret  disagreeableness  anticipation  surprise', 'gratitude', 'love', 'happiness', 'happiness  love', 'love', 'happiness  love', 'love  sadness', 'love', 'humility  love', 'trust  gratitude  humility  happiness  love  optimism  fear  pessimism  regret  sadness  disagreeableness  anticipation  shyness', 'regret', 'love', 'happiness']",60.38,3.77,0,13.21,32.65
57726e74edc2cb3880b73acb,portrait-of-familie-copley-1776.jpg,"['trust', 'happiness  love', 'happiness  love  optimism', 'love', 'happiness  optimism', 'trust  love', 'trust', 'trust  gratitude  humility  happiness  love  optimism', 'humility  happiness  love', 'happiness', 'happiness  love', 'happiness  love', 'happiness  love', 'happiness  love', 'love', 'happiness  love  optimism', 'trust  happiness  love', 'trust', 'trust  gratitude  humility  happiness  love  optimism', 'happiness  love', 'happiness', 'happiness  love']",85.19,0,0,0,32.65
57727cb7edc2cb3880e55daf,fashionable-wife-lioness.jpg,"['gratitude  happiness  love', 'trust  happiness  love  anticipation  surprise', 'trust', 'love', 'love  anticipation', 'trust  arrogance', 'happiness', 'arrogance', 'love', 'happiness  love', 'gratitude  happiness  love', 'trust  happiness  love  anticipation  surprise', 'trust', 'love', 'love', 'arrogance', 'trust  happiness', 'arrogance', 'love', 'happiness  love']",71.43,0,0,0,32.43
59ca15eeedc2c92484219b95,francesca-da-rimini-1835.jpg,"['disgust  regret', 'happiness  love', 'humility  happiness  love', 'trust  love  arrogance  anticipation  surprise', 'love', 'happiness  love', 'love  sadness', 'happiness  love', 'trust', 'gratitude  happiness  love', 'shame', 'love', 'happiness  love', 'trust  happiness  love  optimism', 'trust  happiness  love  arrogance  agreeableness  anticipation  surprise', 'love', 'happiness  love', 'love  sadness', 'love', 'trust', 'anger  disgust  fear  pessimism', 'shame']",63.64,5.45,1.82,7.27,32
57728223edc2cb3880f6bf27,perseus-delivering-andromeda.jpg,"['love  agreeableness', 'love  optimism', 'love  optimism', 'trust  love', 'trust  humility  love', 'trust  arrogance  agreeableness  anticipation', 'love', 'love', 'trust  love', 'fear  shame', 'shame', 'trust  humility', 'love', 'love  optimism', 'trust  love', 'trust  gratitude  humility  happiness  love', 'trust  happiness  love  optimism  arrogance  agreeableness  anticipation  surprise', 'love', 'love', 'trust  love  optimism', 'surprise', 'sadness  disagreeableness']",69.09,5.45,0,1.82,32
57727697edc2cb3880d1f4c9,madonna-and-child-1430.jpg,"['trust  happiness  love  anticipation  surprise', 'trust', 'humility  happiness  love', 'gratitude  happiness  love', 'trust  sadness', 'love', 'happiness  love', 'trust', 'happiness  love', 'humility', 'trust  happiness  love  anticipation  surprise', 'trust', 'happiness  love', 'gratitude  happiness  love', 'trust  love', 'love', 'love  optimism', 'trust', 'happiness  love', 'humility']",74.47,0,0,2.13,31.71
57727019edc2cb3880bcf01a,the-madonna-in-the-church-1439.jpg,"['happiness  love', 'happiness  love  optimism', 'happiness', 'love', 'love  disgust', 'gratitude  happiness', 'trust  love', 'trust', 'love', 'happiness', 'happiness  love  optimism', 'happiness  love  optimism', 'happiness', 'trust', 'happiness  love', 'happiness  love  optimism', 'trust  happiness', 'trust  optimism', 'love', 'trust']",87.18,0,0,0,31.43
5772798eedc2cb3880dbc5f8,virgin-and-child-with-two-donors.jpg,"['gratitude  happiness  love', 'humility  love', 'love', 'happiness  love', 'trust  humility  love', 'regret  sadness', 'trust  happiness  love', 'humility  happiness  love', 'trust  love', 'humility  agreeableness', 'gratitude  happiness  love', 'gratitude  humility  love  surprise', 'love', 'happiness  love', 'trust  humility  happiness  love', 'regret  sadness  shame', 'trust  happiness  love', 'fear  sadness  disagreeableness', 'love', 'humility']",62.26,3.77,0,9.43,31.25
577281c8edc2cb3880f5989c,erotomobile-1966.jpg,"['humility  happiness  love', 'love', 'surprise', 'happiness', 'happiness  love', 'love', 'happiness  shame  surprise  shyness', 'happiness  love  shame', 'love', 'happiness', 'shame', 'trust  happiness  love', 'fear', 'happiness  love', 'love', 'surprise', 'happiness', 'happiness  love', 'love', 'happiness  shame  anticipation  surprise', 'love  agreeableness', 'love', 'happiness', 'shame', 'gratitude  humility  happiness  love', 'arrogance']",68,14,0,0,31.11
57728467edc2cb3880fdceb5,madonna-with-writing-child-and-st-jerome-1481.jpg,"['love', 'humility  love', 'happiness  love  optimism', 'love', 'trust', 'humility  happiness  love', 'trust', 'trust  gratitude  humility  optimism', 'humility', 'love', 'humility  love', 'love', 'humility  happiness', 'happiness  love  optimism', 'love', 'happiness  love', 'trust  humility  happiness  love', 'trust', 'trust  gratitude  humility  optimism  anger  anticipation  surprise', 'trust', 'humility  love', 'love']",69.39,0,2.04,0,31.11
57727a6cedc2cb3880de7473,the-corinthian-maid.jpg,"['humility  happiness  optimism', 'happiness', 'love', 'gratitude', 'love', 'fear  sadness', 'happiness  love  optimism', 'pessimism', 'humility  love', 'love  anticipation  surprise', 'love  agreeableness', 'happiness  optimism', 'happiness  love', 'love', 'trust', 'love', 'fear  sadness  shame', 'trust  love  optimism', 'pessimism', 'humility  love', 'trust  humility  love  optimism', 'humility  love']",61.7,6.38,0,8.51,30.95
577270c2edc2cb3880bf0cfb,over-the-town-1918.jpg,"['trust  love  anticipation  surprise', 'surprise', 'happiness  love', 'happiness  love', 'happiness  love', 'happiness  love', 'happiness', 'happiness  love  optimism', 'love  optimism', 'surprise', 'trust  happiness  anticipation  surprise', 'surprise', 'happiness  love', 'happiness  love', 'humility  love', 'happiness  love', 'trust  love  optimism', 'happiness  optimism', 'love  optimism', 'happiness  surprise']",82.98,0,0,0,30.95
5772722cedc2cb3880c42b1a,madame-monet-and-child(1).jpg,"['trust  happiness  love', 'happiness', 'happiness  love', 'happiness  optimism', 'happiness', 'love', 'trust  humility  happiness  anticipation', 'happiness  love', 'happiness  love', 'love', 'trust  happiness', 'humility  happiness', 'happiness  love', 'happiness  love  optimism', 'happiness', 'happiness  love', 'trust  happiness  optimism', 'happiness  love', 'happiness  love', 'love']",81.82,0,0,0,30.77
57727449edc2cb3880cb840d,madonna-litta-madonna-and-the-child.jpg,"['happiness  love', 'gratitude  happiness  love', 'trust  love', 'trust  love', 'gratitude  happiness  optimism', 'trust  gratitude  love  agreeableness', 'happiness  love', 'trust  gratitude  love', 'gratitude  humility  happiness  love  agreeableness', 'trust  happiness  love', 'happiness  love  optimism', 'gratitude  happiness  love', 'trust  love', 'happiness  love', 'trust  gratitude  love', 'trust  gratitude  happiness  love', 'trust  happiness  love', 'trust  gratitude  happiness  love', 'gratitude  humility  happiness  love  optimism', 'trust  humility  happiness  love  optimism']",89.55,0,0,0,30.16
